DG_E_20131105_78_2_005_S5.mat runs from 2013-11-05 18:06:59 to 2013-11-05 18:23:31
DG_E_20131105_78_2_006_S5.mat runs from 2013-11-05 18:29:38 to 2013-11-05 18:33:26
DG_E_20131105_78_2_007_S5.mat runs from 2013-11-05 18:39:46 to 2013-11-05 18:49:34
DG_E_20131105_78_2_008_S5.mat runs from 2013-11-05 18:56:09 to 2013-11-05 19:06:38
DG_E_20131105_78_2_009_S5.mat runs from 2013-11-05 19:10:26 to 2013-11-05 19:19:37
DG_E_20131105_78_2_010_S5.mat runs from 2013-11-05 19:24:52 to 2013-11-05 19:31:17
DG_E_20131105_78_2_011_S5.mat runs from 2013-11-05 19:35:30 to 2013-11-05 19:40:28
DG_E_20131105_78_2_012_S5.mat runs from 2013-11-05 19:47:44 to 2013-11-05 19:52:31
DG_E_20131105_78_2_013_S5.mat runs from 2013-11-05 19:56:14 to 2013-11-05 19:59:16
DG_E_20131105_78_2_014_S5.mat runs from 2013-11-05 20:06:07 to 2013-11-05 20:11:00
DG_E_20131105_78_2_015_S5.mat runs from 2013-11-05 20:14:43 to 2013-11-05 20:20:48
DG_E_20131105_78_2_016_S5.mat runs from 2013-11-05 20:23:26 to 2013-11-05 20:27:27
DG_E_20131105_78_2_017_S5.mat runs from 2013-11-05 20:32:09 to 2013-11-05 20:34:30
DG_E_20131105_78_2_018_S5.mat runs from 2013-11-05 20:38:34 to 2013-11-05 20:42:54
DG_E_20131105_78_3_001_S5.mat runs from 2013-11-05 17:08:36 to 2013-11-05 17:25:54
DG_E_20131105_78_3_002_S5.mat runs from 2013-11-05 17:32:22 to 2013-11-05 17:39:56
DG_E_20131105_78_3_003_S5.mat runs from 2013-11-05 17:43:50 to 2013-11-05 17:48:33
DG_E_20131105_78_3_004_S5.mat runs from 2013-11-05 17:53:08 to 2013-11-05 18:03:12
DG_E_20131105_78_3_005_S5.mat runs from 2013-11-05 18:07:49 to 2013-11-05 18:22:37
DG_E_20131105_78_3_006_S5.mat runs from 2013-11-05 18:30:19 to 2013-11-05 18:34:31
DG_E_20131105_78_3_007_S5.mat runs from 2013-11-05 18:39:18 to 2013-11-05 18:50:50
DG_E_20131105_78_3_008_S5.mat runs from 2013-11-05 18:57:05 to 2013-11-05 19:06:01
DG_E_20131105_78_3_009_S5.mat runs from 2013-11-05 19:10:00 to 2013-11-05 19:20:41
DG_E_20131105_78_3_010_S5.mat runs from 2013-11-05 19:25:46 to 2013-11-05 19:30:11
DG_E_20131105_78_3_011_S5.mat runs from 2013-11-05 19:34:43 to 2013-11-05 19:37:19
DG_E_20131105_78_3_012_S5.mat runs from 2013-11-05 19:47:24 to 2013-11-05 19:49:17
DG_E_20131105_78_3_013_S5.mat runs from 2013-11-05 19:55:42 to 2013-11-05 19:59:51
DG_E_20131105_78_3_014_S5.mat runs from 2013-11-05 20:06:44 to 2013-11-05 20:11:43
DG_E_20131105_78_3_015_S5.mat runs from 2013-11-05 20:15:29 to 2013-11-05 20:19:06
DG_E_20131105_78_3_016_S5.mat runs from 2013-11-05 20:22:56 to 2013-11-05 20:28:21
DG_E_20131105_78_3_017_S5.mat runs from 2013-11-05 20:31:43 to 2013-11-05 20:35:20
DG_E_20131105_78_3_018_S5.mat runs from 2013-11-05 20:37:59 to 2013-11-05 20:43:24
DG_E_20131106_78_1_001_SW10.mat runs from 2013-11-06 18:18:30 to 2013-11-06 18:28:37
DG_E_20131106_78_1_002_SW10.mat runs from 2013-11-06 18:38:58 to 2013-11-06 18:49:41
DG_E_20131106_78_1_003_SW10.mat runs from 2013-11-06 18:55:54 to 2013-11-06 19:03:19
DG_E_20131106_78_1_004_SW10.mat runs from 2013-11-06 19:51:34 to 2013-11-06 19:59:06
DG_E_20131106_78_1_005_SW10.mat runs from 2013-11-06 20:03:41 to 2013-11-06 20:08:47
DG_E_20131106_78_1_006_SW10.mat runs from 2013-11-06 20:13:36 to 2013-11-06 20:17:46
DG_E_20131106_78_1_007_SW10.mat runs from 2013-11-06 20:23:50 to 2013-11-06 20:31:09
